"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm34589",0.000131596832579033,-0.624542023805428,0.038,0.057,1
"Lpcat4",0.000132468044972914,0.38389850708498,0.112,0.085,1
"Sesn2",0.000134007034408235,-0.272167579380149,0.117,0.132,1
"Cdc42ep2",0.000134593332313957,-0.482092428488198,0.058,0.081,1
"Tlr4",0.000135779915507169,0.219372450183128,0.24,0.203,1
"Fam168b",0.000136738552704761,-0.287520244046051,0.15,0.173,1
"Chst15",0.00013902576754675,0.192904799313211,0.195,0.164,1
"Arhgef3",0.000142281463047823,-0.265328745170748,0.196,0.225,1
"Brd4",0.000142422120690913,0.111574909885878,0.429,0.388,1
"Rps6ka1",0.000143286317302281,0.277027825040956,0.174,0.141,1
"Olfml2b",0.000144710242315286,-0.651174280254712,0.024,0.039,1
"Soat1",0.000148987215027533,-0.146815550552576,0.238,0.248,1
"Actr1a",0.00015013684418415,0.252847270934607,0.147,0.118,1
"Rab35",0.000150263237088993,0.20106957837531,0.221,0.188,1
"Cldnd1",0.000150571861078652,0.718752928077866,0.04,0.024,1
"Pgm2",0.00015107179379264,0.33451899934804,0.087,0.065,1
"Mob1a",0.000155124386133872,0.143655536840951,0.357,0.316,1
"Agfg1",0.000155152909293644,0.372030579349309,0.134,0.106,1
"C920009B18Rik",0.000155325459991477,-0.6708570398577,0.026,0.043,1
"Larp4b",0.000155540540452893,0.199273890231312,0.239,0.204,1
"Cyfip2",0.000156114384719967,-0.197605816147393,0.264,0.291,1
"Degs1",0.000161866890806588,0.349921544007055,0.142,0.113,1
"H2-T24",0.00016575690516262,-0.584076380218632,0.046,0.064,1
"Ramp1",0.000167313440517861,-0.501218537324361,0.053,0.069,1
"Camkk1",0.000167477849161059,1.1932148584332,0.017,0.007,1
"Zfp740",0.000169360490970796,-0.256678178018849,0.183,0.209,1
"Mbd2",0.00017467548723543,0.103041944135101,0.345,0.312,1
"Atp6v0a1",0.000177133247347525,0.10848114509671,0.334,0.302,1
"Cbx3",0.000177186383465124,-0.375380119607008,0.106,0.134,1
"Rpl17-ps8",0.000178572793731991,-0.869743675276342,0.02,0.034,1
"Ppp1r9b",0.000181347184685425,0.194989226847138,0.256,0.22,1
"Rpl10",0.000182516663355468,0.494937156546991,0.041,0.027,1
"Vamp7",0.000187011004333295,1.47309536519497,0.013,0.005,1
"Ciao2a",0.000187660268226872,0.7961434818069,0.031,0.017,1
"Tm2d2",0.000191620407226082,0.57239554715851,0.055,0.036,1
"Ptk2b",0.000199122132197911,-0.10305287725712,0.562,0.585,1
"Slc25a24",0.00019956026317405,0.399327621416117,0.108,0.082,1
"Slc35f5",0.000202540867519289,-0.442914343451917,0.072,0.095,1
"Atg2a",0.000204965654898669,0.246177067875816,0.101,0.08,1
"Trafd1",0.000206145953475595,-0.252719027820207,0.139,0.156,1
"Isyna1",0.000208733159556204,0.371229170851802,0.114,0.088,1
"Sgk3",0.000209057279320329,0.209410218247626,0.217,0.183,1
"Ctsa",0.000209190510422121,-0.186158349613525,0.231,0.252,1
"Tmx4",0.000209613711584472,-0.28367469080631,0.114,0.129,1
"Tfb2m",0.000211632970537072,1.3556820560767,0.017,0.007,1
"Man1a",0.000211848981942258,1.35476499354653,0.017,0.007,1
"Lsm10",0.000216733513732311,-0.258743144553117,0.115,0.128,1
"Xrn1",0.000217454325488851,-0.433486003074643,0.08,0.1,1
"Gucd1",0.000222200963411836,-0.324669870435075,0.119,0.14,1
"Dapp1",0.000225319957732832,0.254238519752309,0.148,0.119,1
"Tra2b",0.000225404542815273,0.396753100909909,0.11,0.084,1
"Tcf20",0.000226224059253826,0.16392266679342,0.21,0.18,1
"2610001J05Rik",0.000226895161053795,0.484706063214592,0.062,0.042,1
"Cops7a",0.000229590154055732,1.24541293525806,0.016,0.007,1
"Trappc9",0.000230420138925478,-0.393918431242274,0.074,0.098,1
"Sec11c",0.000243215985530361,-0.238435003918432,0.199,0.225,1
"Satb1",0.000243970808064319,0.120907098611018,0.185,0.162,1
"Zzz3",0.000249760809553354,-0.454301901691606,0.066,0.088,1
"Acbd5",0.000254498782574258,-0.164303562066038,0.138,0.142,1
"Arhgap18",0.000262142252043243,-0.364009926860878,0.095,0.113,1
"Arl13b",0.000265487244086542,-0.313412486899511,0.075,0.085,1
"Fnbp1",0.000268674990611919,-0.106895061684819,0.282,0.289,1
"Carnmt1",0.000269514095628537,1.42714617399726,0.013,0.005,1
"Basp1",0.000272366366714043,-0.202064314549177,0.25,0.289,1
"Rsrc2",0.000273184255422504,-0.102143962061059,0.301,0.306,1
"Cir1",0.000276773124023522,-0.219477716217634,0.216,0.239,1
"Kctd20",0.000277527706447852,-0.206503394664348,0.245,0.27,1
"H2-K2",0.000277801341906739,-0.140837820958675,0.187,0.193,1
"Slc7a11",0.000280252277925672,-0.310309843910414,0.141,0.17,1
"Cpeb1",0.000281074336557425,0.276324600001982,0.096,0.075,1
"Abtb1",0.000283415257467233,-0.210128273386499,0.235,0.259,1
"Man2a1",0.000287644313502205,0.325766364239887,0.133,0.105,1
"Ran",0.000288583353588859,0.459563169781446,0.087,0.064,1
