"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cdk9",2.09501176320359e-67,-0.310592161308095,0.454,0.278,7.20558345836244e-63
"Cxxc1",2.1778819947396e-67,0.812769909415639,0.431,0.129,7.49060733270739e-63
"Rwdd1",2.24956775550739e-67,1.17582675143535,0.435,0.101,7.7371633382921e-63
"Rffl",2.26601646738222e-67,-0.295766678505578,0.573,0.375,7.7937370379144e-63
"Grk2",2.32885637307295e-67,-0.418144140688293,0.943,0.839,8.00986860954711e-63
"Tmed5",2.33853964461816e-67,0.406942962264483,0.561,0.244,8.04317325369971e-63
"Zc3h18",2.35034350765109e-67,1.03935650201645,0.454,0.119,8.08377146021517e-63
"Rab5c",2.36779731383689e-67,-0.257943728099937,0.893,0.71,8.1438020812106e-63
"Rpl37a",2.37330113598434e-67,0.585246779314353,0.813,0.389,8.16273192710455e-63
"Eno1",2.44569323479331e-67,-0.413247336213433,0.477,0.325,8.4117173117481e-63
"Ndufv3",2.45554609658388e-67,0.189944520704858,0.794,0.463,8.4456052445906e-63
"Chmp3",2.50323515491128e-67,-0.748666313094044,0.431,0.355,8.60962699180184e-63
"Mocos",2.56089009364977e-67,-0.587940190277688,0.454,0.341,8.80792538809901e-63
"Herpud1",2.59296355171902e-67,-0.455247455961074,0.427,0.281,8.91823883978239e-63
"Sf3b5",2.605098907165e-67,0.833599383777374,0.431,0.123,8.95997718130329e-63
"Srebf2",2.60795323412297e-67,-0.755322629618877,0.5,0.443,8.96979435344253e-63
"Pet100",2.71933991996942e-67,-0.499003237876196,0.397,0.265,9.35289772074281e-63
"Slc17a9",3.02759824791711e-67,-0.408660561418771,0.55,0.399,1.04131214138861e-62
"Slco4c1",3.09459432269458e-67,-0.298627697325523,0.641,0.462,1.06435477134757e-62
"Gmfb",3.35690628477971e-67,0.492483953635907,0.458,0.171,1.15457434758713e-62
"Iws1",3.53388152256849e-67,0.969921117129676,0.519,0.155,1.21544321087221e-62
"Dnajb1",3.65325028637527e-67,0.455181047590159,0.389,0.136,1.25649890349591e-62
"Slc48a1",3.69077284929831e-67,0.707289928505424,0.412,0.125,1.26940441378766e-62
"Anapc11",4.10391658548068e-67,1.6046095252771,0.435,0.079,1.41150107041023e-62
"Cep83",4.11248560355804e-67,1.18056456313286,0.477,0.114,1.41444829848775e-62
"Fkbp5",4.16508442654559e-67,0.679288369265213,0.565,0.206,1.43253913766609e-62
"Ints6l",4.20986671723042e-67,-0.461949468599063,0.447,0.301,1.44794155872423e-62
"Tax1bp1",4.24956268385938e-67,-0.33912798637889,0.866,0.713,1.4615945894866e-62
"Nfatc3",4.32856469116337e-67,0.633308513449223,0.55,0.209,1.48876653987873e-62
"Nsmce2",4.74540577007559e-67,1.20705970619314,0.508,0.133,1.6321348605598e-62
"Uqcr11",4.75542478251519e-67,0.981730013783236,0.412,0.108,1.63558079969827e-62
"Pcnt",5.08263606466018e-67,2.76123739304978,0.389,0.033,1.74812184807922e-62
"E2f2",5.14038556280969e-67,0.179021158286922,0.878,0.541,1.76798421047276e-62
"Arhgap1",5.25049548541671e-67,-0.288044796161862,0.527,0.349,1.80585541725422e-62
"Msmo1",5.27358214899008e-67,-2.1465104555957,0.24,0.473,1.81379584432365e-62
"Ier3ip1",5.48519443992555e-67,-0.20036875537623,0.412,0.223,1.88657777566799e-62
"Tecr",6.19085710403021e-67,-0.162298991538712,0.939,0.73,2.12928339236015e-62
"Prex1",6.66156861447092e-67,-1.81746377033291,0.282,0.446,2.29117990926113e-62
"Syngr2",7.08448099705657e-67,0.438404413775765,0.908,0.5,2.43663639412764e-62
"Mocs1",7.39024295103887e-67,-0.504030371536252,0.42,0.286,2.54180016058031e-62
"Dcaf7",7.56267852221908e-67,0.514016578895041,0.515,0.198,2.60110765093203e-62
"Rspry1",7.82799447616902e-67,0.335628827816843,0.496,0.217,2.69236042013357e-62
"Dennd4a",7.95908872751866e-67,-0.238526631056823,0.603,0.39,2.73744897694277e-62
"Tmed9",8.21065067696855e-67,0.427073758075598,0.45,0.177,2.82397119383656e-62
"Ghitm",8.37199344497291e-67,-0.322873550554066,0.553,0.378,2.87946342546398e-62
"Sec31a",9.30402995373538e-67,0.958064782595126,0.515,0.156,3.20002806228775e-62
"Sppl3",9.59235028874555e-67,0.297997805506734,0.534,0.247,3.29919295831114e-62
"Dnajc2",9.648407593658e-67,2.11694584846506,0.393,0.047,3.31847330776273e-62
"Cept1",9.77968694796255e-67,-0.394214045052061,0.534,0.372,3.36362552888224e-62
"Sh3kbp1",9.81308100850378e-67,-0.18889172865906,0.802,0.586,3.37511108206479e-62
"Cep350",9.97044346775585e-67,0.347727935532901,0.622,0.299,3.42923432629995e-62
"Hp1bp3",1.02761994974582e-66,0.679758611571301,0.821,0.377,3.53439605515578e-62
"Hcst",1.10855843106065e-66,-0.958679410078491,0.397,0.372,3.81277586778999e-62
"Rab27a",1.11034176362899e-66,-0.410170405979555,0.641,0.491,3.81890946182554e-62
"Ehbp1l1",1.13201803124732e-66,-0.85077004294701,0.408,0.362,3.89346281667203e-62
"Ppp1cb",1.14696013172157e-66,0.123342705703949,0.927,0.611,3.94485467704318e-62
